msno,usage_decay_30d,sessions_last_30d,ticket_count_30d,login_days_last_30d,pct_negative_sentiment,payment_failure_count_90d
TRAIN-000,0.31830899151020925,14,0,16,0.09670524787694415,1
TRAIN-001,0.22370225947041536,19,0,7,0.1320094722931961,0
TRAIN-002,0.37436317860435425,10,1,5,0.07653157957016632,0
TRAIN-003,0.14397081822899277,9,0,5,0.03310662771077202,1
TRAIN-004,0.49525477025546905,16,2,4,0.36491192323023774,0
TRAIN-005,0.09985075883405821,12,1,14,0.3577720775296118,0
TRAIN-006,0.4589069776128514,17,0,13,0.33270918464687926,0
TRAIN-007,0.1595433415254701,10,1,8,0.210357736304122,0
TRAIN-008,0.17846142472201,13,3,12,0.2456752179127385,0
TRAIN-009,0.33861310939219497,13,0,9,0.36833613295628903,0
TRAIN-010,0.4891201236400793,7,1,14,0.2342657770628508,0
TRAIN-011,0.0762873866483852,12,1,12,0.10884456553555062,0
TRAIN-012,0.3221359135055648,14,0,10,0.34769933377724316,0
TRAIN-013,0.24598869655534417,14,3,9,0.2732815728472934,0
TRAIN-014,0.12093852698536525,10,0,15,0.03757458108755925,0
TRAIN-015,0.3179293650043268,14,0,17,0.17461704790600302,0
TRAIN-016,0.11951110928948218,6,0,11,0.10346206989703707,0
TRAIN-017,0.29379093158265124,9,2,8,0.32942600700018954,0
TRAIN-018,0.1492293611326913,17,0,5,0.15116968546143222,0
TRAIN-019,0.1869607930550319,15,3,9,0.08808653286025789,1
TRAIN-020,0.23706763927456306,13,1,8,0.3391993205588901,1
TRAIN-021,0.35101289732984026,8,0,6,0.10207954183151449,0
TRAIN-022,0.13828092300654785,10,1,11,0.043271642562948874,1
TRAIN-023,0.2749521160784886,13,0,5,0.225329908777563,0
TRAIN-024,0.1829824931390364,18,0,12,0.2101734795281131,0
TRAIN-025,0.1654891884794076,10,0,9,0.1817836993637155,0
TRAIN-026,0.3310416785119327,16,2,9,0.1970605073419235,3
TRAIN-027,0.18188708981748927,8,0,13,0.30564311206282,0
TRAIN-028,0.1677055540759375,13,1,9,0.2231153137953239,1
TRAIN-029,0.2551682697785902,8,0,5,0.11011171279294171,0
TRAIN-030,0.09035937275959093,14,1,3,0.06562811160298024,1
TRAIN-031,0.18695645024871066,10,2,12,0.044651494471849545,1
TRAIN-032,0.27867393662356277,12,1,18,0.2811848113098561,1
TRAIN-033,0.03994722011034307,15,2,8,0.1323348216833913,0
TRAIN-034,0.11212129210099074,14,0,11,0.11979573368651349,0
TRAIN-035,0.18990298814236764,17,0,9,0.04449574445868373,1
TRAIN-036,0.32236987988222604,11,1,3,0.13050410030290874,0
TRAIN-037,0.5870180397240918,13,2,10,0.23640193490803368,0
TRAIN-038,0.1460394234511026,12,1,8,0.20261988288596655,1
TRAIN-039,0.06248186592289704,10,1,10,0.09355977278935759,1
