msno,churn_prob,churn_flag,shap_usage_decay_30d,shap_sessions_last_30d,shap_ticket_count_30d,shap_login_days_last_30d,uplift_score,final_action
DEMO-HR-001,0.89,1,0.42,-0.31,0.38,-0.12,0.082,discount_offer
DEMO-HR-002,0.81,1,0.35,-0.28,0.29,-0.09,0.061,personal_outreach
DEMO-HR-003,0.77,1,0.31,-0.22,0.24,-0.15,0.048,feature_highlight_email
DEMO-HR-004,0.72,1,0.28,-0.19,0.21,-0.11,0.032,re_onboarding_flow
DEMO-HR-005,0.68,1,0.24,-0.17,0.18,-0.08,0.021,no_action
DEMO-HR-006,0.66,1,0.22,-0.14,0.26,-0.07,0.058,personal_outreach
DEMO-HR-007,0.71,1,0.26,-0.18,0.22,-0.10,0.041,discount_offer
DEMO-HR-008,0.74,1,0.29,-0.20,0.27,-0.09,0.055,feature_highlight_email
DEMO-LR-101,0.22,0,-0.05,0.08,-0.02,0.04,-0.02,no_action
DEMO-LR-102,0.31,0,-0.08,0.06,-0.03,0.05,-0.01,no_action
DEMO-LR-103,0.18,0,-0.04,0.07,-0.01,0.03,-0.03,no_action
DEMO-LR-104,0.27,0,-0.06,0.09,-0.02,0.04,-0.02,no_action
DEMO-LR-105,0.35,0,-0.09,0.05,-0.04,0.06,-0.01,no_action
DEMO-LR-106,0.29,0,-0.07,0.07,-0.03,0.05,-0.02,no_action
DEMO-LR-107,0.24,0,-0.05,0.08,-0.02,0.04,-0.02,no_action
DEMO-LR-108,0.41,0,-0.11,0.04,-0.05,0.07,-0.04,no_action
DEMO-LR-109,0.19,0,-0.04,0.07,-0.01,0.03,-0.03,no_action
DEMO-LR-110,0.33,0,-0.08,0.06,-0.03,0.05,-0.01,no_action
DEMO-LR-111,0.26,0,-0.06,0.08,-0.02,0.04,-0.02,no_action
DEMO-LR-112,0.44,0,-0.12,0.03,-0.06,0.08,-0.05,no_action
DEMO-LR-113,0.21,0,-0.05,0.07,-0.02,0.04,-0.02,no_action
DEMO-LR-114,0.38,0,-0.10,0.05,-0.04,0.06,-0.03,no_action
DEMO-LR-115,0.16,0,-0.03,0.08,-0.01,0.02,-0.04,no_action
